Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist,Rank,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300,Adventure,33000,1800,1100,230000,73,X360,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300,Adventure,33000,1800,1100,230000,169,PS3,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300,Adventure,33000,1800,1100,230000,298,PS4,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300,Adventure,33000,1800,1100,230000,644,XOne,Microsoft Game Studios,1.43,0.76,0.0,0.22,2.41
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300,Adventure,33000,1800,1100,230000,715,PSV,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300,Adventure,33000,1800,1100,230000,4515,WiiU,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300, Simulator,33000,1800,1100,230000,73,X360,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300, Simulator,33000,1800,1100,230000,169,PS3,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300, Simulator,33000,1800,1100,230000,298,PS4,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300, Simulator,33000,1800,1100,230000,644,XOne,Microsoft Game Studios,1.43,0.76,0.0,0.22,2.41
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300, Simulator,33000,1800,1100,230000,715,PSV,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25
Minecraft,2011-11-18,Mojang Studios,4.3,2300,2300, Simulator,33000,1800,1100,230000,4515,WiiU,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43
God of War,2018-04-20,Sony Interactive Entertainment,4.2,2900,2900,Adventure,21000,1100,4800,2600,246,PS2,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
God of War,2018-04-20, SIE Santa Monica Studio,4.2,2900,2900,Adventure,21000,1100,4800,2600,246,PS2,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
God of War,2018-04-20,Sony Interactive Entertainment,4.2,2900,2900, Brawler,21000,1100,4800,2600,246,PS2,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
God of War,2018-04-20, SIE Santa Monica Studio,4.2,2900,2900, Brawler,21000,1100,4800,2600,246,PS2,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
